# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
./cmd anti-basic 2>result-anti-basic.txt
./cmd entropy 2>result-entropy.txt
./MinMax
path: ../data/
dataset: out.dbpedia-team
solving  out.dbpedia-team   1
solving  out.dbpedia-team   0
path: ../data/
dataset: out.dbpedia-team
solving  out.dbpedia-team   3
solving  out.dbpedia-team   2
solving  out.dbpedia-team   1
solving  out.dbpedia-team   0
path: ../data/
dataset: out.dbpedia-team
solving  out.dbpedia-team   4
solving  out.dbpedia-team   5
solving  out.dbpedia-team   3
solving  out.dbpedia-team   7
solving  out.dbpedia-team   6
solving  out.dbpedia-team   2
solving  out.dbpedia-team   1
solving  out.dbpedia-team   0
path: ../data/
dataset: out.dbpedia-team
solving  out.dbpedia-team   13
solving  out.dbpedia-team   10
solving  out.dbpedia-team   12
solving  out.dbpedia-team   4
solving  out.dbpedia-team   15
solving  out.dbpedia-team   9
solving  out.dbpedia-team   5
solving  out.dbpedia-team   11
solving  out.dbpedia-team   3
solving  out.dbpedia-team   7
solving  out.dbpedia-team   6
solving  out.dbpedia-team   2
solving  out.dbpedia-team   8
solving  out.dbpedia-team   14
solving  out.dbpedia-team   1
solving  out.dbpedia-team   0
path: ../data/
dataset: out.dbpedia-team
solving  out.dbpedia-team   13
solving  out.dbpedia-team   10
solving  out.dbpedia-team   12
solving  out.dbpedia-team   4
solving  out.dbpedia-team   15
solving  out.dbpedia-team   27
solving  out.dbpedia-team   22
solving  out.dbpedia-team   9
solving  out.dbpedia-team   5
solving  out.dbpedia-team   11
solving  out.dbpedia-team   3
solving  out.dbpedia-team   7
solving  out.dbpedia-team   17
solving  out.dbpedia-team   6
solving  out.dbpedia-team   2
solving  out.dbpedia-team   25
solving  out.dbpedia-team   19
solving  out.dbpedia-team   29
solving  out.dbpedia-team   20
solving  out.dbpedia-team   26
solving  out.dbpedia-team   8
solving  out.dbpedia-team   14
solving  out.dbpedia-team   30
solving  out.dbpedia-team   31
solving  out.dbpedia-team   1
solving  out.dbpedia-team   16
solving  out.dbpedia-team   18
solving  out.dbpedia-team   23
solving  out.dbpedia-team   28
solving  out.dbpedia-team   0
solving  out.dbpedia-team   24
solving  out.dbpedia-team   21
path: ../data/
dataset: out.dbpedia-team
solving  out.dbpedia-team   13
solving  out.dbpedia-team   43
solving  out.dbpedia-team   46
solving  out.dbpedia-team   10
solving  out.dbpedia-team   56
solving  out.dbpedia-team   44
solving  out.dbpedia-team   12
solving  out.dbpedia-team   4
solving  out.dbpedia-team   57
solving  out.dbpedia-team   15
solving  out.dbpedia-team   62
solving  out.dbpedia-team   27
solving  out.dbpedia-team   52
solving  out.dbpedia-team   22
solving  out.dbpedia-team   9
solving  out.dbpedia-team   5
solving  out.dbpedia-team   51
solving  out.dbpedia-team   38
solving  out.dbpedia-team   55
solving  out.dbpedia-team   11
solving  out.dbpedia-team   50
solving  out.dbpedia-team   3
solving  out.dbpedia-team   7
solving  out.dbpedia-team   63
solving  out.dbpedia-team   17
solving  out.dbpedia-team   6
solving  out.dbpedia-team   2
solving  out.dbpedia-team   25
solving  out.dbpedia-team   19
solving  out.dbpedia-team   37
solving  out.dbpedia-team   29
solving  out.dbpedia-team   42
solving  out.dbpedia-team   41
solving  out.dbpedia-team   45
solving  out.dbpedia-team   48
solving  out.dbpedia-team   20
solving  out.dbpedia-team   40
solving  out.dbpedia-team   49
solving  out.dbpedia-team   26
solving  out.dbpedia-team   39
solving  out.dbpedia-team   58
solving  out.dbpedia-team   59
solving  out.dbpedia-team   32
solving  out.dbpedia-team   54
solving  out.dbpedia-team   8
solving  out.dbpedia-team   14
solving  out.dbpedia-team   30
solving  out.dbpedia-team   31
solving  out.dbpedia-team   53
solving  out.dbpedia-team   1
solving  out.dbpedia-team   16
solving  out.dbpedia-team   60
solving  out.dbpedia-team   18
solving  out.dbpedia-team   61
solving  out.dbpedia-team   36
solving  out.dbpedia-team   23
solving  out.dbpedia-team   33
solving  out.dbpedia-team   35
solving  out.dbpedia-team   47
solving  out.dbpedia-team   28
solving  out.dbpedia-team   0
solving  out.dbpedia-team   34
solving  out.dbpedia-team   24
solving  out.dbpedia-team   21
path: ../data/
dataset: out.dbpedia-team-swap.txt
solving  out.dbpedia-team-swap.txt   0
solving  out.dbpedia-team-swap.txt   1
path: ../data/
dataset: out.dbpedia-team-swap.txt
solving  out.dbpedia-team-swap.txt   3
solving  out.dbpedia-team-swap.txt   2
solving  out.dbpedia-team-swap.txt   0
solving  out.dbpedia-team-swap.txt   1
path: ../data/
dataset: out.dbpedia-team-swap.txt
solving  out.dbpedia-team-swap.txt   3
solving  out.dbpedia-team-swap.txt   6
solving  out.dbpedia-team-swap.txt   2
solving  out.dbpedia-team-swap.txt   0
solving  out.dbpedia-team-swap.txt   7
solving  out.dbpedia-team-swap.txt   4
solving  out.dbpedia-team-swap.txt   1
solving  out.dbpedia-team-swap.txt   5
path: ../data/
dataset: out.dbpedia-team-swap.txt
solving  out.dbpedia-team-swap.txt   3
solving  out.dbpedia-team-swap.txt   14
solving  out.dbpedia-team-swap.txt   6
solving  out.dbpedia-team-swap.txt   10
solving  out.dbpedia-team-swap.txt   13
solving  out.dbpedia-team-swap.txt   2
solving  out.dbpedia-team-swap.txt   0
solving  out.dbpedia-team-swap.txt   8
solving  out.dbpedia-team-swap.txt   9
solving  out.dbpedia-team-swap.txt   12
solving  out.dbpedia-team-swap.txt   11
solving  out.dbpedia-team-swap.txt   15
solving  out.dbpedia-team-swap.txt   7
solving  out.dbpedia-team-swap.txt   4
solving  out.dbpedia-team-swap.txt   1
solving  out.dbpedia-team-swap.txt   5
path: ../data/
dataset: out.dbpedia-team-swap.txt
solving  out.dbpedia-team-swap.txt   30
solving  out.dbpedia-team-swap.txt   3
solving  out.dbpedia-team-swap.txt   18
solving  out.dbpedia-team-swap.txt   14
solving  out.dbpedia-team-swap.txt   6
solving  out.dbpedia-team-swap.txt   10
solving  out.dbpedia-team-swap.txt   13
solving  out.dbpedia-team-swap.txt   22
solving  out.dbpedia-team-swap.txt   17
solving  out.dbpedia-team-swap.txt   29
solving  out.dbpedia-team-swap.txt   2
solving  out.dbpedia-team-swap.txt   19
solving  out.dbpedia-team-swap.txt   0
solving  out.dbpedia-team-swap.txt   25
solving  out.dbpedia-team-swap.txt   21
solving  out.dbpedia-team-swap.txt   16
solving  out.dbpedia-team-swap.txt   8
solving  out.dbpedia-team-swap.txt   9
solving  out.dbpedia-team-swap.txt   27
solving  out.dbpedia-team-swap.txt   12
solving  out.dbpedia-team-swap.txt   26
solving  out.dbpedia-team-swap.txt   11
solving  out.dbpedia-team-swap.txt   20
solving  out.dbpedia-team-swap.txt   15
solving  out.dbpedia-team-swap.txt   7
solving  out.dbpedia-team-swap.txt   24
solving  out.dbpedia-team-swap.txt   4
solving  out.dbpedia-team-swap.txt   28
solving  out.dbpedia-team-swap.txt   1
solving  out.dbpedia-team-swap.txt   23
solving  out.dbpedia-team-swap.txt   31
solving  out.dbpedia-team-swap.txt   5
path: ../data/
dataset: out.dbpedia-team-swap.txt
solving  out.dbpedia-team-swap.txt   30
solving  out.dbpedia-team-swap.txt   3
solving  out.dbpedia-team-swap.txt   44
solving  out.dbpedia-team-swap.txt   61
solving  out.dbpedia-team-swap.txt   18
solving  out.dbpedia-team-swap.txt   45
solving  out.dbpedia-team-swap.txt   14
solving  out.dbpedia-team-swap.txt   6
solving  out.dbpedia-team-swap.txt   43
solving  out.dbpedia-team-swap.txt   63
solving  out.dbpedia-team-swap.txt   60
solving  out.dbpedia-team-swap.txt   10
solving  out.dbpedia-team-swap.txt   50
solving  out.dbpedia-team-swap.txt   13
solving  out.dbpedia-team-swap.txt   36
solving  out.dbpedia-team-swap.txt   39
solving  out.dbpedia-team-swap.txt   49
solving  out.dbpedia-team-swap.txt   55
solving  out.dbpedia-team-swap.txt   22
solving  out.dbpedia-team-swap.txt   41
solving  out.dbpedia-team-swap.txt   17
solving  out.dbpedia-team-swap.txt   29
solving  out.dbpedia-team-swap.txt   2
solving  out.dbpedia-team-swap.txt   47
solving  out.dbpedia-team-swap.txt   19
solving  out.dbpedia-team-swap.txt   58
solving  out.dbpedia-team-swap.txt   52
solving  out.dbpedia-team-swap.txt   59
solving  out.dbpedia-team-swap.txt   37
solving  out.dbpedia-team-swap.txt   0
solving  # dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
2,3418,58,58
4,9149,49,49
8,17769,52,52
16,29997,60,60
32,45071,61,61
64,61602,69,69

# dataset:../data/wiki_new.txt-swap.txt n:4136 m:4571
# p , k-1 , partition time , total time 
2,4463,60,60
4,12786,50,50
8,26406,53,53
16,45401,60,60
32,65333,72,73
64,83605,78,78

# dataset:../data/out.dbpedia-location n:172096 m:53412
# p , k-1 , partition time , total time 
2,15163,372,372
4,32453,393,393
8,51150,393,393
16,70673,339,339
32,91217,469,469
64,113055,475,475

# dataset:../data/out.dbpedia-location-swap.txt n:53412 m:172096
# p , k-1 , partition time , total time 
2,52277,321,321
4,83229,314,314
8,102745,300,300
16,110849,346,346
32,116054,284,284
64,119148,306,306

# dataset:../data/out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,27521,294,294
4,57289,337,337
8,89065,339,339
16,122112,410,410
32,157127,417,417
64,191277,363,363

# dataset:../data/out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,26424,304,304
4,60980,316,316
8,104432,332,332
16,155788,362,362
32,210212,364,364
64,261751,382,382

# dataset:../data/out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,107733,1145,1145
4,238993,1189,1189
8,391892,1347,1347
16,555076,1570,1570
32,713799,1682,1682
64,846320,1520,1520

# dataset:../data/out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,110218,1143,1143
4,285025,1238,1238
8,514065,1340,1340
16,759231,1541,1541
32,972298,1665,1665
64,1127576,1623,1623

# dataset:../data/out.dbpedia-team n:901171 m:34466
# p , k-1 , partition time , total time 
2,20840,1326,1326
4,51731,1440,1440
8,100255,1734,1734
16,173407,1875,1875
32,275950,1645,1645
64,410409,1929,1929

# dataset:../data/out.dbpedia-team-swap.txt n:34466 m:901171
# p , k-1 , partition time , total time 
2,93843,1264,1264
4,206525,1366,1366
8,307405,1354,1354
16,377095,1491,1491
32,418333,1486,1486
64,441367,1337,1337

out.dbpedia-team-swap.txt   25
solving  out.dbpedia-team-swap.txt   35
solving  out.dbpedia-team-swap.txt   21
solving  out.dbpedia-team-swap.txt   51
solving  out.dbpedia-team-swap.txt   16
solving  out.dbpedia-team-swap.txt   32
solving  out.dbpedia-team-swap.txt   8
solving  out.dbpedia-team-swap.txt   9
solving  out.dbpedia-team-swap.txt   27
solving  out.dbpedia-team-swap.txt   12
solving  out.dbpedia-team-swap.txt   56
solving  out.dbpedia-team-swap.txt   38
solving  out.dbpedia-team-swap.txt   62
solving  out.dbpedia-team-swap.txt   57
solving  out.dbpedia-team-swap.txt   26
solving  out.dbpedia-team-swap.txt   53
solving  out.dbpedia-team-swap.txt   34
solving  out.dbpedia-team-swap.txt   11
solving  out.dbpedia-team-swap.txt   20
solving  out.dbpedia-team-swap.txt   15
solving  out.dbpedia-team-swap.txt   7
solving  out.dbpedia-team-swap.txt   24
solving  out.dbpedia-team-swap.txt   46
solving  out.dbpedia-team-swap.txt   48
solving  out.dbpedia-team-swap.txt   4
solving  out.dbpedia-team-swap.txt   28
solving  out.dbpedia-team-swap.txt   1
solving  out.dbpedia-team-swap.txt   40
solving  out.dbpedia-team-swap.txt   23
solving  out.dbpedia-team-swap.txt   31
solving  out.dbpedia-team-swap.txt   33
solving  out.dbpedia-team-swap.txt   5
solving  out.dbpedia-team-swap.txt   42
solving  out.dbpedia-team-swap.txt   54
stdbuf -o0 ./KaHyPar -h ./KaHyPar-mid-data -k 2 -e 0.03 -o km1 -m direct -p ./config/km1_kKaHyPar_sea20.ini -w true  1>./KaHyPar.log
stdbuf -o0 ./KaHyPar -h ./KaHyPar-mid-data -k 4 -e 0.03 -o km1 -m direct -p ./config/km1_kKaHyPar_sea20.ini -w true  1>./KaHyPar.log
stdbuf -o0 ./KaHyPar -h ./KaHyPar-mid-data -k 8 -e 0.03 -o km1 -m direct -p ./config/km1_kKaHyPar_sea20.ini -w true  1>./KaHyPar.log
stdbuf -o0 ./KaHyPar -h ./KaHyPar-mid-data -k 16 -e 0.03 -o km1 -m direct -p ./config/km1_kKaHyPar_sea20.ini -w true  1>./KaHyPar.log
stdbuf -o0 ./KaHyPar -h ./KaHyPar-mid-data -k 32 -e 0.03 -o km1 -m direct -p ./config/km1_kKaHyPar_sea20.ini -w true  1>./KaHyPar.log
stdbuf -o0 ./KaHyPar -h ./KaHyPar-mid-data -k 64 -e 0.03 -o km1 -m direct -p ./config/km1_kKaHyPar_sea20.ini -w true  1>./KaHyPar.log
stdbuf -o0 ./KaHyPar -h ./KaHyPar-mid-data -k 2 -e 0.03 -o km1 -m direct -p ./config/km1_kKaHyPar_sea20.ini -w true  1>./KaHyPar.log
stdbuf -o0 ./KaHyPar -h ./KaHyPar-mid-data -k 4 -e 0.03 -o km1 -m direct -p ./config/km1_kKaHyPar_sea20.ini -w true  1>./KaHyPar.log
stdbuf -o0 ./KaHyPar -h ./KaHyPar-mid-data -k 8 -e 0.03 -o km1 -m direct -p ./config/km1_kKaHyPar_sea20.ini -w true  1>./KaHyPar.log
stdbuf -o0 ./KaHyPar -h ./KaHyPar-mid-data -k 16 -e 0.03 -o km1 -m direct -p ./config/km1_kKaHyPar_sea20.ini -w true  1>./KaHyPar.log
stdbuf -o0 ./KaHyPar -h ./KaHyPar-mid-data -k 32 -e 0.03 -o km1 -m direct -p ./config/km1_kKaHyPar_sea20.ini -w true  1>./KaHyPar.log
stdbuf -o0 ./KaHyPar -h ./KaHyPar-mid-data -k 64 -e 0.03 -o km1 -m direct -p ./config/km1_kKaHyPar_sea20.ini -w true  1>./KaHyPar.log
./cmd random 2>result-random.txt
