# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
2003
2667
1900
2707
3064
3518
4801
sum:58839
max partition:5378
min partition:5377
1007
998
1096
879
1077
898
1457
1207
807
878
906
1063
1238
1234
623
819
889
837
1188
1116
911
682
818
786
918
630
818
620
605
496
695
637
613
559
591
536
552
486
628
617
542
603
586
363
468
629
523
633
553
823
862
1035
1097
1349
1353
704
1489
1285
1494
1641
1658
1879
2363
2428
sum:59775
max partition:2689
min partition:2688
143233
56385
sum:199618
max partition:26704
min partition:26703
123212
36582
35876
20734
sum:216404
max partition:13352
min partition:13351
110863
22270
17842
19004
23146
12844
11194
9562
sum:226725
max partition:6676
min partition:6675
99672
18039
11524
10910
7606
10286
10267
8790
10977
12310
7230
5632
5877
5327
4872
4696
sum:234015
max partition:3338
min partition:3337
89261
15727
10528
7592
6159
5322
5846
5174
3520
4018
5085
5239
5026
5267
3965
4822
5200
5808
7384
4915
3934
3298
2730
2899
2907
2968
2403
2925
2569
2305
2135
2561
sum:239492
max partition:1669
min partition:1668
67375
28651
9085
7020
5889
4815
4008
3417
2995
3172
3303
2102
3626
2219
2636
2343
2025
1458
1822
2202
2232
2870
2606
2599
2479
2639
2383
2901
1928
2071
2235
2585
2305
2900
2666
3151
4420
2902
2745
2172
1908
2122
1780
1414
1464
1267
1236
1661
1465
1449
1599
1358
1123
1287
1490
1427
1312
1254
1122
1182
1092
1044
1389
1172
sum:246569
max partition:835
min partition:834
wiki_new.txt-swap.txt   24
solving  wiki_new.txt-swap.txt   28
solving  wiki_new.txt-swap.txt   34
solving  wiki_new.txt-swap.txt   36
solving  wiki_new.txt-swap.txt   60
solving  wiki_new.txt-swap.txt   38
solving  wiki_new.txt-swap.txt   11
solving  wiki_new.txt-swap.txt   42
path: ../data/
dataset: out.dbpedia-location
solving  out.dbpedia-location   0
solving  out.dbpedia-location   1
path: ../data/
dataset: out.dbpedia-location
solving  out.dbpedia-location   0
solving  out.dbpedia-location   3
solving  out.dbpedia-location   1
solving  out.dbpedia-location   2
path: ../data/
dataset: out.dbpedia-location
solving  out.dbpedia-location   0
solving  out.dbpedia-location   3
solving  out.dbpedia-location   6
solving  out.dbpedia-location   5
solving  out.dbpedia-location   7
solving  out.dbpedia-location   1
solving  out.dbpedia-location   2
solving  out.dbpedia-location   4
path: ../data/
dataset: out.dbpedia-location
solving  out.dbpedia-location   0
solving  out.dbpedia-location   12
solving  out.dbpedia-location   3
solving  out.dbpedia-location   15
solving  out.dbpedia-location   13
solving  out.dbpedia-location   6
solving  out.dbpedia-location   5
solving  out.dbpedia-location   7
solving  out.dbpedia-location   1
solving  out.dbpedia-location   9
solving  out.dbpedia-location   2
solving  out.dbpedia-location   14
solving  out.dbpedia-location   8
solving  out.dbpedia-location   4
solving  out.dbpedia-location   11
solving  out.dbpedia-location   10
path: ../data/
dataset: out.dbpedia-location
solving  out.dbpedia-location   21
solving  out.dbpedia-location   17
solving  out.dbpedia-location   16
solving  out.dbpedia-location   0
solving  out.dbpedia-location   18
solving  out.dbpedia-location   28
solving  out.dbpedia-location   12
solving  out.dbpedia-location   3
solving  out.dbpedia-location   22
solving  out.dbpedia-location   27
solving  out.dbpedia-location   15
solving  out.dbpedia-location   13
solving  out.dbpedia-location   30
solving  out.dbpedia-location   6
solving  out.dbpedia-location   19
solving  out.dbpedia-location   5
solving  out.dbpedia-location   7
solving  out.dbpedia-location   31
solving  out.dbpedia-location   24
solving  out.dbpedia-location   1
solving  out.dbpedia-location   29
solving  out.dbpedia-location   26
solving  out.dbpedia-location   23
solving  out.dbpedia-location   9
solving  out.dbpedia-location   20
solving  out.dbpedia-location   2
solving  out.dbpedia-location   14
solving  out.dbpedia-location   8
solving  out.dbpedia-location   4
solving  out.dbpedia-location   25
solving  out.dbpedia-location   11
solving  out.dbpedia-location   10
path: ../data/
dataset: out.dbpedia-location
solving  out.dbpedia-location   58
solving  out.dbpedia-location   46
solving  out.dbpedia-location   49
solving  out.dbpedia-location   21
solving  out.dbpedia-location   17
solving  out.dbpedia-location   35
solving  out.dbpedia-location   16
