method,dataset,p,k-1,ParTime
anti-basic,out.dblp-author-swap.txt,128,1854912,26903
anti-basic,out.dblp-author-swap.txt,256,1988432,27262
anti-basic,reuters.txt,2,97955,64012
anti-basic,reuters.txt,4,226644,84905
anti-basic,reuters.txt,8,427819,123473
anti-basic,reuters.txt,16,717540,201183
anti-basic,reuters.txt,32,1096858,344252
anti-basic,reuters.txt,64,1563946,621304
anti-basic,reuters.txt,128,2121593,1180409
anti-basic,reuters.txt,256,2820357,3222338
anti-basic,reuters-swap.txt,2,97171,39515
anti-basic,reuters-swap.txt,4,262827,39004
anti-basic,reuters-swap.txt,8,542514,38019
anti-basic,reuters-swap.txt,16,983806,39005
anti-basic,reuters-swap.txt,32,1635034,41553
anti-basic,reuters-swap.txt,64,2565042,46368
anti-basic,reuters-swap.txt,128,3856438,55049
anti-basic,reuters-swap.txt,256,5631934,69998
anti-basic,out.trackers,2,484156,317230
anti-basic,out.trackers,4,1036109,340017
anti-basic,out.trackers,8,1778793,367908
anti-basic,out.trackers,16,2618295,496705
anti-basic,out.trackers,32,3495652,756533
anti-basic,out.trackers,64,4518485,1261773
anti-basic,out.trackers,128,5656141,2183347
anti-basic,out.trackers,256,6899560,3906222
anti-basic,out.trackers-swap.txt,2,1330144,173030
anti-basic,out.trackers-swap.txt,4,1607255,168626
anti-basic,out.trackers-swap.txt,8,2737866,169541
anti-basic,out.trackers-swap.txt,16,3857293,174997
anti-basic,out.trackers-swap.txt,32,5202236,184777
anti-basic,out.trackers-swap.txt,64,6774912,199375
anti-basic,out.trackers-swap.txt,128,8591316,223968
anti-basic,out.trackers-swap.txt,256,10571403,253051
anti-basic,out.orkut-groupmemberships,2,725370,533247
anti-basic,out.orkut-groupmemberships,4,5424059,486454
anti-basic,out.orkut-groupmemberships,8,12176093,617441
anti-basic,out.orkut-groupmemberships,16,20446808,918036
anti-basic,out.orkut-groupmemberships,32,30030771,1399455
anti-basic,out.orkut-groupmemberships,64,40065694,2096690
anti-basic,out.orkut-groupmemberships,128,50392339,3670176
anti-basic,out.orkut-groupmemberships,256,61407629,6507574
anti-basic,out.orkut-groupmemberships-swap.txt,2,997680,542953
anti-basic,out.orkut-groupmemberships-swap.txt,4,3127097,541497
anti-basic,out.orkut-groupmemberships-swap.txt,8,5884337,561172
anti-basic,out.orkut-groupmemberships-swap.txt,16,9603011,632540
anti-basic,out.orkut-groupmemberships-swap.txt,32,14330049,697641
anti-basic,out.orkut-groupmemberships-swap.txt,64,20353219,1006908
anti-basic,out.orkut-groupmemberships-swap.txt,128,27155140,1571849
anti-basic,out.orkut-groupmemberships-swap.txt,256,35418043,2111457
anti-basic,enwiki.txt,2,973937,459023
anti-basic,enwiki.txt,4,2047112,418799
anti-basic,enwiki.txt,8,3433717,411021
anti-basic,enwiki.txt,16,5327866,434986
anti-basic,enwiki.txt,32,7762145,473029
anti-basic,enwiki.txt,64,10878376,490261
anti-basic,enwiki.txt,128,15082487,652774
anti-basic,enwiki.txt,256,20775250,774076
anti-basic,enwiki-swap.txt,2,277125,937627
anti-basic,enwiki-swap.txt,4,991821,861479
anti-basic,enwiki-swap.txt,8,1837201,811036
anti-basic,enwiki-swap.txt,16,2944246,1042108
anti-basic,enwiki-swap.txt,32,4463794,1511074
anti-basic,enwiki-swap.txt,64,6361660,2558599
anti-basic,enwiki-swap.txt,128,8735560,4429883
anti-basic,enwiki-swap.txt,256,11665845,7690531
random,out.github,2,27543,240
random,out.github,4,57552,278
random,out.github,8,88803,259
random,out.github,16,122263,272
random,out.github,32,156519,288
random,out.github,64,191439,385
random,out.github,128,224266,377
random,out.github,256,252880,342
random,out.github-swap.txt,2,26292,275
random,out.github-swap.txt,4,61071,232
random,out.github-swap.txt,8,104610,202
random,out.github-swap.txt,16,155987,238
random,out.github-swap.txt,32,209930,267
